 6/25/2018,Formulation Production  Deviation Report By Completion Date,,,,,,,,,,,,,,,,,,,,
Number,ScheduleDate,IssueDate,CompletionDate,BatchNo,FormCode,name,Colour,ScheduleMass,Schedule Vol,ScheduledBulkMass,SG,SchedMassCost,ActualSg,ActualMass,Actual Vol,UnitCost,OHMass,StdVolCost,ActVolCost,actualcost,Loss %
37051,10/10/2016,10/10/2016,10/20/2016,216/37051,00-130,ARMOUR PU 2K THINNERS,CLEAR,651.9,741,-8.1,0.88,15.55249287,0.867,650.25,750,15.12419839,0,13.6862,13.1127,9834.53,0.253106305
37078,10/14/2016,10/14/2016,10/20/2016,216/37078,Z442,INT:TPE GREEN 7 JARMILL @,GREEN 7,283.94,319,283.94,0.89,19.72115642,0.9,270,300,20.43990333,0,17.5518,18.3959,5518.77,4.90948792
37082,10/12/2016,10/12/2016,10/20/2016,216/37082,Z448,INT:TPE BLACK BALLMILL 1 YY,BLACK,103.172,116,103.172,0.89,16.51407778,0.893,111.625,125,15.91346096,0,14.6975,14.2107,1776.34,-8.193114411
37100,10/18/2016,10/18/2016,10/20/2016,DE/216/37100,39-299152,CT-FDE:GREY DK B&R @,TINT-GREY DK B&R,96.08,99,-0.92,0.97,22.55397888,0.923,92.3,100,18.81647603,0,21.8774,17.3676,1736.76,3.934221482
37101,10/18/2016,10/18/2016,10/20/2016,DE/216/37101,39-65150,CT-FDE:ORANGE NITCHI @,MTO TINT-ORANGE NITCHI,51.02,49,-1.48,1.05,27.27725318,0.995,49.75,50,22.99397019,0,28.6411,22.879,1143.95,2.489219914
37105,10/18/2016,10/18/2016,10/20/2016,DE/216/37105,45-89825,CT-FD HB AGRIP:BLUE CAPRI RAL5019 @,MTO TINT-BLUE CAPRI RAL5019,136.292,129,-1.508,1.06,28.11542234,0.97,126.1,130,24.33265872,0,29.8023,23.6027,3068.35,7.478061808
37106,10/18/2016,10/18/2016,10/20/2016,DE/216/37106,39-89889,CT-FDE:BLUE DONALDSON @,MTO TINT-BLUE DONALDSON,14.415,15,-0.135,0.97,29.01545424,0.924,36.96,40,20.97388736,0,28.145,19.3799,775.2,-156.3995838
37096,10/18/2016,10/18/2016,10/21/2016,216/37096,12-690,MOD-ZPPW20:BLACK SATIN HI-SP @,MODIFY-ZPPW20 BLACK SATIN,150.9,148,-2.1,1.02,17.26818878,0.965,144.75,150,17.64184497,0,17.6136,17.0244,2553.66,4.07554672
37097,10/18/2016,10/18/2016,10/21/2016,DE/216/37097,39-6512,CT-FDE:ORANGE LT B26 SANS-NCS S2070-Y50R @,TINT-ORANGE LT B26 SANS-NCS 2070-Y50R,1656.27,1593,-7.73,1.04,22.67689938,0.989,1582.4,1600,22.45921728,0,23.584,22.2122,35539.52,4.460021615
37099,10/18/2016,10/18/2016,10/21/2016,DE/216/37099,39-299118,CT-FDE SPRAY:GREY LIGHT G29 SANS-NCS S4005-G20Y YY,TINT SPRAY-GREY LIGHT G29 SANS-NCS S4005-G20Y,766.349,798,-1.651,0.96,17.94907817,0.927,741.6,800,17.59000544,0,17.2311,16.3059,13044.72,3.229468558
37107,10/19/2016,10/19/2016,10/21/2016,DE/216/37107,45-6512,CT-FD HB AGRIP:ORANGE LT B26 SANS-NCS S2070-Y50R @,MTO TINT-ORANGE LT B26 SANS-NCS 2070-Y50R,26.872,25,-0.378,1.09,28.63843993,1.05,26.25,25,23.3466211,0,31.2159,24.514,612.85,2.314676987
37110,10/19/2016,10/19/2016,10/21/2016,AR/216/37110,12-50113,CT-FPW15 PRIM:GREY PALE G62 SANS-NCS S1502-G @Y,MTO TINT-MATT GREY PALE G62 SANS-NCS S1502-G,254.951,248,-2.549,1.03,13.04672422,0.994,248.5,250,12.78629889,0,13.4381,12.7096,3177.4,2.530290134
37111,10/19/2016,10/19/2016,10/21/2016,DE/216/37111,39-9015,CT-FDE:BLACK GREY RAL7021 @,MTO TINT-BLACK GREY RAL7021,24.75,25,0,0.99,21.66110735,0.911,22.775,25,18.55623025,0,21.4445,16.9047,422.62,7.97979798
37116,10/20/2016,10/20/2016,10/21/2016,216/37116,41-701,FD HTONE SILVER/GREY (ADD SILICONE) S50 SLOW SPEED YY,SILVER/GREY - ADD SILICONE,510.375,526,5.975,0.97,20.31915605,0.943,490.36,520,20.51384973,0,19.7096,19.3446,10059.19,3.921626255
36875, 9/12/2016,10/1/2016,10/24/2016,216/36875,Z302,INT:FDE BLACK (28m 22v) S25/35 BALLMILL 5 @,BLACK (28m 22v),1820.85,1990,1820.85,0.915,17.37238386,0.901,1802,2000,17.28686459,0,15.8957,15.5755,31151,1.035230799
36989,10/3/2016,10/3/2016,10/24/2016,AR/216/36989,39-507,DG+CT-FDE DIP:GREEN MOSS RAL6005 IS227+LS25+50-BALLMILL 7 @,TINT GREEN MOSS RAL6005+IS227,1986.907,2183,-15.093,0.91,17.34862699,0.885,1947,2200,17.33846638,0,15.7873,15.3445,33757.9,2.008498636
37047,10/7/2016,10/7/2016,10/24/2016,216/37047,Z447,INT:TPE BLUE UM JARMILL @,BLUE UM,523.31,563,523.31,0.93,19.91850054,0.799,535.33,670,19.39244503,0,18.5242,15.4946,10381.38,-2.296917697
37062,10/11/2016,10/11/2016,10/24/2016,AR/216/37062,60-9952,CT-PU HB7:1 PART A&B:GREEN LT BRU* H07 SANS-NCS S5540-G30Y @,MTO TINT-GREEN LT BRU H07 SANS:   10*5L OR 50*1L,113.336,103,3.336,1.1,44.13646717,1.01,101,100,44.83607178,0,48.5501,45.2844,4528.44,10.88444978
37076,10/12/2016,10/12/2016,10/24/2016,216/37076,Z441,INT:TPE GREEN IG227 BALLMILL 2 @,GREEN IG227,920.118,979,920.118,0.94,19.81220472,0.957,909.15,950,19.70472199,0,18.6235,18.8574,17914.53,1.192021023
37077,10/12/2016,10/12/2016,10/24/2016,216/37077,15-001,DIPPING VARNISH CLEAR LS25 SLOW-SPEED @,CLEAR 13 SEC,1051.2,1208,7.2,0.87,13.92290009,0.83,996,1200,14.20884829,0,12.1129,11.7933,14151.96,5.251141553
37080,10/12/2016,10/12/2016,10/24/2016,216/37080,Z430,INT:TPE WHITE-BALLMILL 8 @,WHITE,1960.7,1981,1960.7,0.99,18.88708483,1,1900,1900,18.82440568,0,18.6982,18.8244,35766.36,3.095833121
37088,10/17/2016,10/17/2016,10/24/2016,216/37088,12-361,FPW15 MATT:REDOX 130 LS25 24m 14v BALLMILL 9 @,REDOX 130 24m 14v,2073.481,2073,-1.519,1,11.88659424,0.962,2058.68,2140,10.07580853,0,11.8866,9.6929,20742.81,0.713823758
37108,10/19/2016,10/19/2016,10/24/2016,DE/216/37108,43-8104,CT-TPE:BLUE PANTONE REFLEX C @,MTO TINT-BLUE PANTONE REFLEX C,575.995,600,-0.005,0.96,26.20399985,0.949,569.4,600,19.49787432,0,25.1558,18.5035,11102.1,1.144975217
37114,10/20/2016,10/20/2016,10/24/2016,216/37114,00-150,REFILL (Z001) FDE THINNERS,FTO REFILL-Z001 CLEAR,4100,5000,0,0.82,9.637299794,0.806,564.2,700,9.75566005,0,7.9026,7.8631,5504.17,86.23902439
37122,10/20/2016,10/21/2016,10/24/2016,DE/216/37122,39-898102,CT-FDE:BLUE DEEP HP @,MTO TINT-BLUE DEEP HP,197.15,199,-0.85,0.99,23.18558446,0.925,185,200,22.252518,0,22.9537,20.5836,4116.72,6.162820188
36959, 9/23/2016,10/1/2016,10/25/2016,LAB/216/36959,72-101.,ARMOUR MASTER:WHITE BALLMILL 8@,WHITE HIGH HIDING,5.571,4,5.571,1.4,6.37692236,1.456,4.368,3,7.857234432,0,8.9277,11.4401,34.32,21.59396877
37091,10/17/2016,10/17/2016,10/25/2016,216/37091,Z306,INT:FDE TINT WHITE S25 BALLMILL 8 YY,TINT WHITE,1962.548,2023,1962.548,0.97,18.2996548,0.949,1898,2000,18.35433741,0,17.7507,17.4183,34836.6,3.28898962
37094,10/17/2016,10/17/2016,10/25/2016,216/37094,60-901,REFILL (Z603) PU HB7:1 PART A&B:BLACK @,FTO REFILL-Z603 BLACK   10*5L OR 50*1L,388.17,377,1.92,1.03,34.81747481,0.962,591.63,615,31.19453831,0,35.862,30.0091,18455.6,-52.41517892
37103,10/18/2016,10/18/2016,10/25/2016,216/37103,Z716,INT:PVA TINT GREEN 7 JARMILL @,GREEN 7,19.313,15,19.313,1.25,12.55460183,1.126,9.008,8,15.47362345,0,15.6933,17.4233,139.39,53.35784187
37104,10/18/2016,10/18/2016,10/25/2016,216/37104,Z761,ARMOURCRYL EXTENDER FOR TINT BASE HI-SPEED @,CLEAR,36.476,29,36.476,1.24,8.238607442,1.153,34.59,30,8.311653657,0,10.2159,9.5833,287.5,5.170523084
37121,10/20/2016,10/20/2016,10/25/2016,216/37121,14-101,REFILL (Z14-101) EPS15 ETCH PRIMER 27m 14v WHITE**,WHITE 27m 14v,24.25,25,-0.25,0.98,15.0268718,0.917,22.925,25,15.81586587,0,14.7263,14.5031,362.58,5.463917526
37126,10/21/2016,10/21/2016,10/25/2016,216/37126,00-120,STD ETCH THINNERS,CLEAR,635.04,774,-0.46,0.82,6.24469077,0.792,613.8,775,6.363870968,0,5.1206,5.0402,3906.16,3.344671202
37127,10/21/2016,10/21/2016,10/25/2016,37127,00-149,FDE/QD WRINKLE REDUCER,CLEAR,40.5,49,-1,0.83,11.16751269,0.81,40.5,50,11,0,9.269,8.91,445.5,0
37133,10/24/2016,10/24/2016,10/25/2016,216/37133,00-110,GP/QD THINNERS,CLEAR,1494,1800,0,0.83,11.57360406,0.817,1470.6,1800,11.58139535,0,9.6061,9.462,17031.6,1.56626506
36949, 9/21/2016,10/1/2016,10/26/2016,216/36949,39-201,FDE:SILVER BRILLIANT LS25 - 3 POT HI-SP YY,SILVER BRILLIANT,1382.7,1519,-0.5,0.91,18.12756157,0.885,1393.875,1575,17.00544884,0,16.4961,15.0498,23703.44,-0.808201345
37079,10/12/2016,10/12/2016,10/26/2016,DE/216/37079,43-1016,CT-TPE:GREY DK ADM G12&DK SEA G11 SANS-NCS S6502-B @Y,TINT-GREY DK ADM G12&DK SEA G11 SANS-NCS S6502-B,778.4,794,-5.6,0.98,19.16463165,0.975,1170,1200,18.28108369,0,18.7813,17.8241,21388.92,-50.30832477
37093,10/17/2016,10/17/2016,10/26/2016,216/37093,Z310,INT:FDE GREEN 7 LS35 BALLMILL 2  YY,GREEN 7,577.7,602,577.7,0.96,21.92154098,0.915,594.75,650,21.28301303,0,21.0447,19.474,12658.1,-2.951358837
37129,10/24/2016,10/24/2016,10/26/2016,AR/216/37129,39-61531,CT-FDE:RED BAFANA SR+SM@,TINT-RED BAFANA SR+SM,601.5,590,-10.5,1.02,24.76448022,0.992,570.4,575,24.73677344,0,25.2598,24.5389,14109.87,5.170407315
37130,10/24/2016,10/24/2016,10/26/2016,DE/216/37130,45-99011,CT-FD HB AGRIP:GREY DARK ADM PRO @Y,TINT-GREY DARK ADM PRO,217.025,197,-2.975,1.1,24.23036256,1.058,211.6,200,1.204657595,0,26.6534,1.2745,254.9,2.499712015
37131,10/24/2016,10/24/2016,10/26/2016,216/37131,40-202,QD DIP SK120 BRIGHT ALUMINIUM-SLOW SPEED 3 POT YY,BRIGHT ALUMINIUM-DIPPING,1373.899,1510,-82.101,0.91,15.26119656,0.885,1416,1600,14.56084746,0,13.8877,12.8864,20618.24,-3.064344613
37142,10/24/2016,10/24/2016,10/26/2016,AR/216/37142,39-6522,CT-FDE SPRAY 22S F4C:ORANGE LT B26 SANS-NCS S2070-Y50R @,TINT SPRAY 22S F4C-ORANGE LT B26 SANS-NCS 2070-Y50R,453.78,436,-14.22,1.04,22.73699509,0.961,432.45,450,21.46038794,0,23.6465,20.6234,9280.53,4.700515668
37143,10/24/2016,10/24/2016,10/26/2016,AR/216/37143,39-10158,CT-FDE:PINK LIGHT HP @,MTO TINT-PINK LIGHT HP,48.15,49,-1.35,0.99,26.56056527,0.943,47.15,50,23.09737309,0,26.295,21.7808,1089.04,2.076843198
37146,10/24/2016,10/25/2016,10/26/2016,DE/216/37146,39-101224,CT-FDE:IVORY B&R @,MTO TINT-IVORY B&R,48.65,49,-0.85,0.99,22.52926752,0.95,47.5,50,18.73156518,0,22.304,17.795,889.75,2.363823227
37147,10/24/2016,10/25/2016,10/26/2016,DE/216/37147,39-29911,CT-FDE:GREY TRICOR @YY,TINT-GREY TRICOR,191.656,194,-6.344,0.99,18.820179,0.939,187.8,200,18.24723091,0,18.632,17.1341,3426.82,2.011938056
36948, 9/21/2016,10/1/2016,10/27/2016,216/36948,Z14-901,INT:EPS15 ETCH PRIMER:BLACK 18m 12v-BALL MILL 5 @,BLACK 18m 12v,681.899,758,681.899,0.9,13.55061339,0.861,645.75,750,13.70826419,0,12.1956,11.8028,8852.1,5.301224961
37039,10/6/2016,10/6/2016,10/27/2016,216/37039,35-902,FD ROAD MARK PAINT SCS40 BLACK-BALLMILL 1 YY,BLACK,183.366,139,-1.434,1.32,12.38755087,1.215,145.8,120,15.09593278,0,16.3516,18.3416,2200.99,20.48689506
37069,10/11/2016,10/11/2016,10/27/2016,216/37069,Z436,INT:TPE YELLOW MID BALLMILL 6 YY,YELLOW MID,691.962,699,691.962,0.99,21.22733007,0.992,644.8,650,21.97667649,0,21.0151,21.8009,14170.59,6.815692191
37112,10/20/2016,10/20/2016,10/27/2016,AR/216/37112,12-5782G,DG-ZPP15 MATT:GREY LT QDP3 PLA S25-3 POT HI-SP YY,FPW15 GREY LT QDP3 PLA,1710.361,1710,10.361,1,12.85633188,0.977,1538.775,1575,12.8012534,0,12.8563,12.5068,19698.21,10.03215111
37117,10/20/2016,10/20/2016,10/27/2016,216/37117,Z448,INT:TPE BLACK BALLMILL 1 YY,BLACK,103.172,116,103.172,0.89,16.51407778,0.906,99.66,110,16.58314991,0,14.6975,15.0243,1652.67,3.404024348
37132,10/24/2016,10/24/2016,10/27/2016,216/37132,40-900,QD SPRAY SK120 BRIGHT ALUMINIUM-SLOW SPEED 3 POT YY,BRIGHT ALUMINIUM-SPRAY,1446,1589,-10,0.91,15.56091843,0.878,1404.8,1600,15.58613326,0,14.1604,13.6846,21895.36,2.849239281
37150,10/25/2016,10/25/2016,10/27/2016,216/37150,39-10126,CT-FDE:LIGHT STONE C37 SANS-NCS S3020-Y20R @,MTO TINT-LIGHT STONE C37 SANS-NCS S3020-Y20R,24.43,25,-0.32,0.99,23.06532906,0.93,23.25,25,19.58771122,0,22.8347,18.2166,455.42,4.830126893
36894,10/17/2016,10/17/2016,10/28/2016,216/36894,Z9302,INT:FD HB AGRIP PLUS:BLACK-AA17060X BALLMILL 1,BLACK,303.147,303,303.147,1,21.7821319,0.983,280.155,285,22.45155111,0,21.7821,22.0699,6289.92,7.584439232
37057,10/10/2016,10/10/2016,10/28/2016,216/37057,14-901,REFILL (Z14-901) EPS15 ETCH PRIMER:BLACK,BLACK,546,600,0,0.91,13.61870693,0.863,608.415,705,13.73979143,0,12.393,11.8574,8359.47,-11.43131868
37090,10/17/2016,10/17/2016,10/28/2016,216/37090,15-001,DIPPING VARNISH CLEAR LS25 SLOW-SPEED @,CLEAR 13 SEC,1051.2,1208,7.2,0.87,13.92290009,0.834,1000.8,1200,13.63611835,0,12.1129,11.3725,13647,4.794520548
37098,10/26/2016,10/26/2016,10/28/2016,DE/216/37098,31-10114,CT-SGE:LIGHT STONE C37 SANS-NCS S3020-Y20R @,MTO TINT-LIGHT STONE C37 SANS-NCS S3020-Y20R,25.8,24,-0.7,1.06,19.50106504,1.004,25.1,25,17.15022849,0,20.6711,17.2188,430.47,2.713178295
37115,10/20/2016,10/20/2016,10/28/2016,DE/216/37115,39-507,DG+CT-FDE DIP:GREEN MOSS RAL6005 IS227+LS25+50-BALLMILL 7 @,TINT GREEN MOSS RAL6005+IS227,1986.907,2183,-15.093,0.91,17.34862699,0.877,1754,2000,19.34749209,0,15.7873,16.9678,33935.6,11.72208865
37135,10/24/2016,10/24/2016,10/28/2016,216/37135,Z321,INT:FDE RED IS537 LS25 BALLMILL 3 YY,RED IS537,690.924,705,690.924,0.98,22.03793096,0.953,667.1,700,22.1402331,0,21.5972,21.0996,14769.72,3.448136119
37136,10/24/2016,10/24/2016,10/28/2016,216/37136,43-405,REFILL (Z436) TPE YELLOW MID M11G,FTO REFILL-Z436 YELLOW MID M11G,739.5,725,0,1.02,21.33400008,0.989,741.75,750,21.16290981,0,21.7607,20.9301,15697.58,-0.304259635
37145,10/24/2016,10/25/2016,10/28/2016,DE/216/37145,12-384,CT-FPW15 PRIM SPRAY 22S F4C:BLUE NW @,TINT SPRAY 22S F4C-MATT BLUE NW,393.084,393,-6.916,1,15.85955844,0.935,374,400,15.90537925,0,15.8596,14.8715,5948.6,4.854941946
37157,10/27/2016,10/27/2016,10/28/2016,DE/216/37157,12-50113,CT-FPW15 PRIM:GREY PALE G62 SANS-NCS S1502-G @Y,MTO TINT-MATT GREY PALE G62 SANS-NCS S1502-G,509.903,495,-5.097,1.03,13.04672422,0.993,496.5,500,12.87647335,0,13.4381,12.7863,6393.15,2.628539154
37158,10/27/2016,10/27/2016,10/31/2016,DE/216/37158,39-53022,CT-FDE:GREEN PC @,MTO TINT-GREEN PC,71.775,73,-1.725,0.98,22.89927704,0.936,70.2,75,19.99376221,0,22.4413,18.7142,1403.57,2.194357367
37092,10/17/2016,11/1/2016,11/1/2016,217/37092,Z304,INT:FDE MAROON 6BM LS35 BALLMILL 1 YY,MAROON 6BM,355.924,371,355.924,0.96,23.22242545,0.943,330.05,350,23.85188911,0,22.2935,22.4923,7872.31,7.26952945
37125,10/21/2016,11/1/2016,11/1/2016,217/37125,Z447,INT:TPE BLUE UM JARMILL @,BLUE UM,523.31,563,523.31,0.93,19.67543237,0.941,508.14,540,19.65493762,0,18.2982,18.4953,9987.46,2.898855363
37123,10/21/2016,11/1/2016,11/2/2016,217/37123,Z438,INT:TPE REDOX 130 BALLMILL 1 YY,REDOX 130,452.019,486,452.019,0.93,16.31837139,0.953,447.91,470,16.28241276,0,15.1761,15.5171,7293.04,0.909032585
37141,10/24/2016,11/1/2016,11/2/2016,217/37141,Z446,INT:TPE BLUE 15.3 BALL MILL 1 @,BLUE 15.3,306.058,348,306.058,0.88,18.03380304,0.874,301.53,345,17.75547375,0,15.8697,15.5183,5353.81,1.479458142
37159,11/1/2016,11/1/2016,11/2/2016,DE/217/37159,14-4012,CT-EPS15 ETCH PRIMER:LIGHTSTONE C37 SANS @,TINT-LIGHTSTONE C37 SANS,9.83,10,0.13,0.97,18.4435738,0.872,8.72,10,16.77548366,0,17.8903,14.6282,146.28,11.29196338
37165,11/1/2016,11/1/2016,11/2/2016,217/37165,12-573,MOD-ZPPW15:GREY NEW HD HI-SP @,MODIFY TINT-GREY NEW HD,499.92,490,-10.08,1.02,14.48957517,1.003,501.5,500,14.2594713,0,14.7794,14.3022,7151.1,-0.316050568
37177,11/1/2016,11/1/2016,11/2/2016,DE/217/37177,Dec-83,CT-ZPPW15 MATT SPRAY:GREY EXTRA DK SEA G08 SANS @,MTO TINT MATT SPRAY-GREY EXTRA DK SEA G08 SANS,48.525,48,-1.975,1.01,15.63063316,0.969,48.45,50,14.82290461,0,15.7869,14.3634,718.17,0.154559505
37179,11/1/2016,11/1/2016,11/2/2016,AR/217/37179,39-299214,CT-FDE:GREY SENSATION @,MTO TINT-GREY SENSATION,48.258,49,-1.242,0.99,22.90361266,0.968,48.4,50,18.25177491,0,22.6746,17.6677,883.39,-0.29425173
37180,11/1/2016,11/1/2016,11/2/2016,DE/217/37180,39-898102,CT-FDE:BLUE DEEP HP @,MTO TINT-BLUE DEEP HP,124.204,125,0.454,0.99,23.23003426,0.926,115.75,125,22.54832705,0,22.9977,20.8798,2609.98,6.806544073
37045,10/7/2016,11/1/2016,11/3/2016,217/37045,Z026,INT:PVB SOLN FOR STD ETCH PRIMER-HI-SPEED YY,CLEAR,1401.95,1689,1401.95,0.83,12.94445894,0.826,1321.6,1600,12.94375,0,10.7439,10.6915,17106.4,5.731302828
37149,10/24/2016,11/1/2016,11/3/2016,DE/217/37149,39-6512,CT-FDE:ORANGE LT B26 SANS-NCS S2070-Y50R @,TINT-ORANGE LT B26 SANS-NCS 2070-Y50R,625.702,602,1.702,1.04,22.73974081,0.99,594,600,23.16260053,0,23.6493,22.931,13758.6,5.066629162
37155,10/26/2016,11/1/2016,11/3/2016,217/37155,12-364,FPW15 VLB HOT DIP SATIN REDOX 130 LS25 13m 7v BALLMILL 9 @,MTO-FPW15 HOT DIP SATIN REDOX 130 13m 7v,1023.295,1077,73.295,0.95,10.81877912,0.91,1092,1200,10.15161401,0,10.2778,9.238,11085.6,-6.714095153
37156,10/26/2016,11/1/2016,11/3/2016,217/37156,40-900,QD SPRAY SK120 BRIGHT ALUMINIUM-SLOW SPEED 3 POT YY,BRIGHT ALUMINIUM-SPRAY,1428.3,1570,-0.4,0.91,16.43933997,0.862,1361.96,1580,15.82931217,0,14.9598,13.6449,21558.94,4.64468249
37160,11/1/2016,11/1/2016,11/3/2016,217/37160,00-150,REFILL (Z001) FDE THINNERS,FTO REFILL-Z001 CLEAR,7175,8750,0,0.82,9.907882647,0.799,6991.25,8750,9.841128911,0,8.1245,7.8631,68802.13,2.56097561
37175,11/1/2016,11/1/2016,11/3/2016,AR/217/37175,39-1015,CT-FDE:VELLUM C59 SABS YY,MTO TINT-VELLUM C59 SABS,194.06,196,-3.94,0.99,21.50785846,0.954,190.8,200,18.56221729,0,21.2928,17.7084,3541.68,1.679892817
37181,11/1/2016,11/1/2016,11/3/2016,217/37181,45-901,REFILL (Z9320) FD HB AGRIP:BLACK,FTO REFILL-Z9320 BLACK,128.7,130,0,0.99,21.76816715,0.955,124.15,130,22.26099476,0,21.5505,21.2593,2763.71,3.535353535
37183,11/1/2016,11/1/2016,11/3/2016,217/37183,14-101,REFILL (Z14-101) EPS15 ETCH PRIMER 27m 14v WHITE**,WHITE 27m 14v,73.5,75,0,0.98,15.0268718,0.906,67.95,75,15.26705563,0,14.7263,13.832,1037.4,7.551020408
37185,11/1/2016,11/1/2016,11/3/2016,217/37185,00-110,GP/QD THINNERS,CLEAR,4980,6000,0,0.83,11.97969543,0.815,1467,1800,11.87239264,0,9.9431,9.676,17416.8,70.54216867
37201,11/2/2016,11/2/2016,11/3/2016,AR/217/37201,12-50113,CT-FPW15 PRIM:GREY PALE G62 SANS-NCS S1502-G @Y,MTO TINT-MATT GREY PALE G62 SANS-NCS S1502-G,382.427,371,-3.823,1.03,13.16376235,0.995,373.125,375,18.03136702,0,13.5587,17.9412,6727.95,2.43235964
37081,10/12/2016,11/1/2016,11/4/2016,217/37081,Z437,INT:TPE YELLOW OXIDE JARMILL @,YELLOW OXIDE,227.825,245,227.825,0.93,16.05671517,0.941,216.43,230,16.39503535,0,14.9327,15.4277,3548.37,5.001646
37148,10/24/2016,11/1/2016,11/4/2016,AR/217/37148,39-603,CT-FDE:SIGNAL RED A11 SANS-NCS S1580-Y90R @,TINT-RED SIGNAL-NCS S1580-Y90R,579.42,591,-8.58,0.98,23.2278283,0.944,590,625,22.1201018,0,22.7633,20.8814,13050.88,-1.825963895
37166,11/1/2016,11/1/2016,11/4/2016,217/37166,Z430,INT:TPE WHITE-BALLMILL 8 @,WHITE,1960.7,1981,1960.7,0.99,18.6167732,0.989,1879.1,1900,18.76894364,0,18.4306,18.5625,35268.75,4.161778956
37171,11/1/2016,11/1/2016,11/4/2016,217/37171,Z309,INT:FDE MID YELLOW M11-G LS25/35 BALLMILL 6 YY,YELLOW MID M11-G,873.911,848,873.911,1.03,21.78750196,0.976,927.2,950,20.96282086,0,22.4411,20.4597,19436.72,-6.097760527
37173,11/1/2016,11/1/2016,11/4/2016,217/37173,Z318,INT:FDE SCARLET SM LS25/35 BALLMILL 3 YY,SCARLET SM,890.281,864,890.281,1.03,25.31550829,0.957,861.3,900,25.38227563,0,26.075,24.2908,21861.72,3.255264349
37176,11/1/2016,11/1/2016,11/4/2016,DE/217/37176,43-1016,CT-TPE:GREY DK ADM G12&DK SEA G11 SANS-NCS S6502-B @Y,TINT-GREY DK ADM G12&DK SEA G11 SANS-NCS S6502-B,1517.88,1549,-1.12,0.98,18.88051277,0.966,1207.5,1250,17.67558711,0,18.5029,17.0746,21343.25,20.44825678
37182,11/1/2016,11/1/2016,11/4/2016,217/37182,12-364,FPW15 VLB HOT DIP SATIN REDOX 130 LS25 13m 7v BALLMILL 9 @,MTO-FPW15 HOT DIP SATIN REDOX 130 13m 7v,1023.295,1077,73.295,0.95,10.81877912,0.919,919,1000,11.64832699,0,10.2778,10.7048,10704.8,10.1920756
37184,11/1/2016,11/1/2016,11/4/2016,217/37184,43-610,REFILL (Z438) TPE REDOX 130,FTO REFILL-Z438 REDOX 130,332.5,350,0,0.95,16.40037326,0.946,439.89,465,15.86990275,0,15.5804,15.0129,6981,-32.29774436
37186,11/2/2016,11/2/2016,11/4/2016,217/37186,39-402,REFILL (Z309) FDE YELLOW MID M11G,FTO REFILL-Z309:BT05 YELLOW MID M11G,412,400,0,1.03,22.11929133,0.968,387.2,400,23.18298037,0,22.7829,22.4411,8976.44,6.019417476
37202,11/2/2016,11/2/2016,11/4/2016,217/37202,Z326,INT:FPW15 MATT:WHITE 28m15v LS25-3 POT HI-SP  YY,FPW15 MATT WHITE 28m 15v,1640.703,1609,1640.703,1.02,12.48246831,0.979,1566.4,1600,12.68234327,0,12.7321,12.416,19865.6,4.528729453
37209,11/3/2016,11/3/2016,11/4/2016,DE/217/37209,12-50113,CT-FPW15 PRIM:GREY PALE G62 SANS-NCS S1502-G @Y,MTO TINT-MATT GREY PALE G62 SANS-NCS S1502-G,382.427,371,-3.823,1.03,13.16376235,0.998,748.5,750,12.82437137,0,13.5587,12.7987,9599.03,-95.7236283
37113,10/20/2016,11/1/2016,11/7/2016,AR/217/37113,43-501,CT-TPE:GREEN IG237 @,TINT-GREEN IG237,961.38,1001,1.38,0.96,22.87132845,0.952,975.8,1025,19.59854409,0,21.9565,18.6578,19124.25,-1.499927188
37144,10/24/2016,11/1/2016,11/7/2016,DE/217/37144,43-8104,CT-TPE:BLUE PANTONE REFLEX C @,MTO TINT-BLUE PANTONE REFLEX C,623.015,649,-0.985,0.96,23.06832415,0.946,425.7,450,22.60105624,0,22.1456,21.3806,9621.27,31.67098705
37193,11/2/2016,11/2/2016,11/7/2016,DE/217/37193,39-53013,CT-FDE:GREEN BRI H10 SANS-NCS S4550-G20Y - YY,TINT-GREEN BRI H10 SANS-NCS S4550-G20Y,210.035,208,8.035,1.01,22.72717125,0.958,191.6,200,22.62370054,0,22.9544,21.6735,4334.7,8.777108577
37194,11/2/2016,11/2/2016,11/7/2016,DE/217/37194,39-5309,CT-FDE:GREEN WINDSOR G33 PLA @,TINT-GREEN WINDSOR G33 PLA,50.3,51,0.8,0.99,22.83572217,0.966,48.3,50,21.63385217,0,22.6074,20.8983,1044.92,3.976143141
37196,11/2/2016,11/2/2016,11/7/2016,AR/217/37196,39-9991,CT-FDE:BROWN PWD G18 PLA @,MTO TINT-BROWN PWD G18 PLA,48.295,49,-1.205,0.99,21.86964425,0.966,48.3,50,17.26548962,0,21.6509,16.6785,833.93,-0.010353039
37210,11/3/2016,11/3/2016,11/7/2016,DE/217/37210,39-29982,CT-FDE:GREY ANTHRACITE RAL7016 @,MTO TINT-GREY ANTHRACITE RAL7016,187.36,191,-8.64,0.98,22.2231426,0.966,193.2,200,17.58177265,0,21.7787,16.984,3396.8,-3.116994022
37220,11/3/2016,11/3/2016,11/7/2016,DE/217/37220,31-80277,CT-SGE:BLUE PANTONE 279C @,MTO TINT-BLUE PANTONE 279C,47.627,48,-1.873,0.99,20.54115032,0.92,46,50,19.30442409,0,20.3357,17.7601,888.01,3.416129506
