 6/25/2018,Formulation Production  Deviation Report By Completion Date,,,,,,,,,,,,,,,,,,,,
Number,ScheduleDate,IssueDate,CompletionDate,BatchNo,FormCode,name,Colour,ScheduleMass,Schedule Vol,ScheduledBulkMass,SG,SchedMassCost,ActualSg,ActualMass,Actual Vol,UnitCost,OHMass,StdVolCost,ActVolCost,actualcost,Loss %
36457, 6/22/2016, 6/22/2016, 6/28/2016,212/36457,82-101,ARMOURCRYL MATT WHITE (PURE ACRYLIC) HI-SP @,MATT WHITE,194.787,136,-5.413,1.43,11.53892734,1.43,200.2,140,10.83240759,0,16.5007,15.4903,2168.64,-2.778932886
36459, 6/23/2016, 6/23/2016, 6/28/2016,BE/212/36459,39-9897,CT-FDE SPRAY:LEMON C54 SANS-NCS S1080-Y10R @Y,TINT SPRAY-LEMON C54 SANS-NCS S1080-Y10R,407.968,392,-2.832,1.04,24.65545598,0.989,380.765,385,22.88768843,0,25.6417,22.6359,8714.82,6.667924935
36460, 6/24/2016, 6/24/2016, 6/28/2016,BE/212/36460,39-6512,CT-FDE:ORANGE LT B26 SANS-NCS S2070-Y50R @,TINT-ORANGE LT B26 SANS-NCS 2070-Y50R,1656.27,1593,-7.73,1.04,23.34998149,0.99,1584,1600,23.16409958,0,24.284,22.9325,36692,4.363419008
36466, 6/27/2016, 6/28/2016, 6/28/2016,BE/212/36466,39-89822,CT-FDE:BLUE PEACOCK F08 SANS-NCS S5040-B20G @,MTO TINT-BLUE PEACOCK F08 SANS-NCS S5040-B20G,57.036,58,-2.364,0.99,24.86620229,0.94,56.4,60,13.59434752,0,24.6175,12.7787,766.72,1.115085209
36467, 6/27/2016, 6/27/2016, 6/28/2016,212/36467,00-110,GP/QD THINNERS,CLEAR,6640,8000,0,0.83,12.63959391,0.813,6504,8000,12.7103321,0,10.4909,10.3335,82668,2.048192771
36451, 6/20/2016, 6/20/2016, 6/29/2016,212/36451,Z322,INT:FDE BLUE UM LS35 BALLMILL 4 YY,BLUE UM,355.445,370,355.445,0.96,21.04196176,0.942,357.96,380,20.83765644,0,20.2003,19.6291,7459.06,-0.707563758
36462, 6/24/2016, 6/24/2016, 6/29/2016,212/36462,39-910,VISCO ADJ-FDWE SPRAY 22S F4C:BLACK,BLACK SPRAY,226.375,249,-1.125,0.91,17.05155304,0.874,227.24,260,16.73185102,0,15.5169,14.6236,3802.14,-0.382109332
36465, 6/24/2016, 6/24/2016, 6/29/2016,212/36465,14-901,REFILL (Z14-901) EPS15 ETCH PRIMER:BLACK,BLACK,637,700,0,0.91,13.51416921,0.892,557.5,625,13.67573489,0,12.2979,12.1988,7624.25,12.48037677
36323, 5/27/2016, 6/01/2016, 6/30/2016,LAB/212/36323,45-20121A,FD HB AGRIP PLUS:SILVER-AA17060X SLOW SPEED @,SILVER,4.646,4,-0.604,1.05,22.90060618,1.026,5.13,5,20.55840156,0,24.0456,21.0929,105.46,-10.4175635
36404, 6/08/2016, 6/08/2016, 6/30/2016,212/36404,Z302,INT:FDE BLACK (28m 22v) S25/35 BALLMILL 5 @,BLACK (28m 22v),1815.749,1984,1815.749,0.915,17.43619697,0.901,1802,2000,17.13079606,0,15.9541,15.4348,30869.6,0.757208182
36405, 6/08/2016, 6/08/2016, 6/30/2016,212/36405,Z304,INT:FDE MAROON 6BM LS35 BALLMILL 1 YY,MAROON 6BM,355.924,371,355.924,0.96,23.76055435,0.923,341.51,370,23.98773096,0,22.8101,22.1407,8192.06,4.049740956
36463, 6/24/2016, 6/24/2016, 6/30/2016,212/36463,Z318,INT:FDE SCARLET SM LS25/35 BALLMILL 3 YY,SCARLET SM,890.281,864,890.281,1.03,25.77532193,0.998,878.24,880,25.34482146,0,26.5486,25.2941,22258.81,1.352494325
36464, 6/24/2016, 6/24/2016, 6/30/2016,212/36464,Z603,INT PU 7:1 BLACK BASE BALLMILL 2 YY,BLACK 52m 45v,436.24,432,436.24,1.01,27.18515628,0.982,441.9,450,26.42973297,0,27.457,25.954,11679.3,-1.297450944
36471, 6/28/2016, 6/28/2016, 6/30/2016,212/36471,40-202,QD DIP SK120 BRIGHT ALUMINIUM-SLOW SPEED 3 POT YY,BRIGHT ALUMINIUM-DIPPING,1373.899,1510,-82.101,0.91,16.54645219,0.889,1289.05,1450,17.10651992,0,15.0573,15.2077,22051.17,6.17578148
36444, 6/20/2016, 7/01/2016, 7/01/2016,AR/213/36444,39-61531,CT-FDE:RED BAFANA SR+SM@,TINT-RED BAFANA SR+SM,627,615,-10.5,1.02,25.4369682,0.967,604.375,625,21.85627323,0,25.9457,21.135,13209.38,3.608452951
