batchNumber,batchPeriod,productType,paintInfoType,rdProject,initialV,initialVUnit,iFOG,finalV,finalVUnit,finalSG,fFOG,fHardDry,fHardDryUnit,fTouchDry,fTouchDryUnit,finalDFT,finalDFTUnit,finalOpacity,finalGloss,finalDE,finalDESpec,dateIssued,dateLoaded,datePremixPassed,active
39929,233,603,Batch,3,54.70,KU,100,59.50,SEC,1.05,2.00,60,MIN,10,MIN,46.30,UM,89.39,83.50,1.00,Visual Match,3/8/2018,3/14/2018,3/16/2018,Completed
39946,233,532,Batch,,52.50,KU,100,60.50,SEC,0.90,2.00,60,MIN,10,MIN,39.60,UM,99.94,85.40,1.00,Visual Match,3/9/2018,3/14/2018,3/16/2018,Completed
39627,233,546,Batch,,62.20,KU,100,62.50,KU,0.98,5.00,75,MIN,10,MIN,0.00,UM,100.00,1.00,1.00,Visual Match,3/1/2018,3/20/2018,3/22/2018,Completed
39627,233,546,Batch,,62.20,KU,100,62.50,KU,0.98,5.00,75,MIN,10,MIN,0.00,UM,100.00,1.00,1.00,Visual Match,3/1/2018,3/20/2018,3/22/2018,Completed
39945,233,205,Batch,,44.50,KU,100,19.50,SEC,0.89,2.00,60,MIN,10,MIN,19.90,UM,97.19,73.60,0.20,Spectrophotometer,3/9/2018,3/15/2018,3/16/2018,Completed
39940,233,299,Batch,,60.10,KU,100,60.50,SEC,0.97,10.00,60,MIN,10,MIN,32.60,UM,100.00,1.00,1.00,Visual Match,3/9/2018,3/20/2018,3/22/2018,Completed
39969,233,537,Batch,,63.20,KU,100,60.36,SEC,0.94,1.50,60,MIN,10,MIN,43.80,UM,100.00,87.80,1.00,Visual Match,3/12/2018,3/20/2018,3/22/2018,Completed
39988,233,536,Batch,,76.30,KU,100,59.80,SEC,0.93,2.00,60,MIN,10,MIN,41.80,UM,73.54,75.60,1.00,Visual Match,3/14/2018,3/14/2018,3/16/2018,Completed
39953,233,151,Batch,,76.80,KU,100,59.67,SEC,1.00,2.00,60,MIN,10,MIN,42.10,UM,84.39,80.10,1.00,Visual Match,3/9/2018,3/15/2018,3/19/2018,Completed
40010,233,548,Batch,,100.60,KU,100,60.50,SEC,0.98,10.00,60,MIN,10,MIN,32.30,UM,99.90,1.00,0.21,Spectrophotometer,3/16/2018,3/23/2018,3/23/2018,Completed
40017,233,533,Batch,,57.60,KU,100,59.63,SEC,0.93,2.00,60,MIN,10,MIN,38.90,UM,62.71,68.80,1.00,Visual Match,3/19/2018,3/20/2018,3/22/2018,Completed
40018,233,549,Batch,,111.50,KU,100,60.46,SEC,0.99,5.00,60,MIN,10,MIN,32.80,UM,83.79,1.00,1.00,Visual Match,3/19/2018,3/23/2018,3/26/2018,Completed
40009,233,559,Batch,,66.70,KU,100,61.40,KU,0.95,2.00,180,MIN,30,MIN,64.90,UM,98.15,83.60,1.00,Visual Match,3/16/2018,3/22/2018,3/26/2018,Completed
40000,233,543,Batch,,56.30,KU,100,60.95,SEC,0.92,2.00,60,MIN,10,MIN,33.30,UM,78.83,86.50,1.00,Visual Match,3/15/2018,3/21/2018,3/22/2018,Completed
40001,233,543,Batch,1,63.70,KU,100,60.85,SEC,0.89,2.00,60,MIN,10,MIN,38.50,UM,79.66,24.60,1.00,Visual Match,3/15/2018,3/21/2018,3/23/2018,Completed
39973,233,454,Batch,2,113.30,KU,100,94.90,KU,1.40,15.00,60,MIN,30,MIN,98.10,UM,92.83,1.00,1.00,Visual Match,4/1/2018,3/27/2018,3/27/2018,Completed
40030,233,577,Batch,3,70.70,KU,100,69.59,SEC,1.14,1.50,90,MIN,30,MIN,90.30,UM,96.15,87.30,1.00,Visual Match,3/19/2018,3/23/2018,3/26/2018,Completed
39967,233,538,Batch,1,66.80,KU,100,60.36,SEC,1.00,2.00,60,MIN,10,MIN,40.10,UM,69.18,86.90,1.00,Visual Match,3/12/2018,3/15/2018,3/16/2018,Completed
40051,233,543,Batch,2,54.70,KU,100,60.50,SEC,0.94,2.00,60,MIN,10,MIN,43.60,UM,79.53,90.20,1.00,Visual Match,3/20/2018,3/23/2018,3/26/2018,Completed
39992,233,606,Batch,3,80.00,KU,100,21.50,SEC,0.96,10.00,90,MIN,30,MIN,32.80,UM,99.43,7.60,0.25,Spectrophotometer,3/14/2018,3/27/2018,3/27/2018,Completed
39981,234,205,Batch,,48.30,KU,100,19.50,SEC,0.89,1.50,60,MIN,10,MIN,19.30,UM,96.78,66.18,0.21,Spectrophotometer,4/1/2018,3/20/2018,3/22/2018,Completed
