RMCode,name,Usage Mass,Usage Value,StockOnHand Mass,StockOn Hand Value
Z9310,INT:FD HB AGRIP PLUS:GREEN 7-AA17060X JARMILL @,0,0,0,0
Z9305,INT:FD HB AGRIP PLUS:GREEN IG227-AA17060X JARMILL,17.85,413.750505,0,0
Z9304,INT:FD HB AGRIP PLUS:MAROON 6BM-AA17060X JARMILL @,0,0,0,0
Z9321,INT:FD HB AGRIP PLUS:RED IS537-AA17060X BALLMILL 3,0,0,0,0
Z9308,INT:FD HB AGRIP PLUS:REDOX 130-AA17060X JARMILL @,0,0,0,0
Z9318,INT:FD HB AGRIP PLUS:SCARLET SM-AA17060X JARMILL @,0,0,0,0
Z9306,INT:FD HB AGRIP PLUS:WHITE-AA17060X BALLMILL 8 @,11.1,263.60058,-11.1,-265.7686659
Z9309,INT:FD HB AGRIP PLUS:YELLOW MID M11G-AA17060X JARM,93.5,2273.07575,0,0
Z9313,INT:FD HB AGRIP PLUS:YELLOWOX 920-AA17060X JARMILL,0,0,0,0
Z9302S,INT:FD HB AGRIP:BLACK-S25+50 BALLMILL 5 YY,2353.525,43617.90666,205.646,3858.828577
Z9307S,INT:FD HB AGRIP:BLUE 15.3-S25+50 JAR & BALLMILL 1,623.623,13688.01658,88.853,1970.991135
Z9322S,INT:FD HB AGRIP:BLUE UM S25+50 JARMILL @,10.1,215.46936,0,0
Z9310S,INT:FD HB AGRIP:GREEN 7-S25+50 JAR & BALLMILL 1 @,8.221,187.7020935,150.5,3460.244695
Z9305S,INT:FD HB AGRIP:GREEN IG227 S25+50 JAR & BALLMILL,1241.1,27405.92253,157.5,3494.731031
Z9304S,INT:FD HB AGRIP:MAROON 6BM-S25+50 JARMILL @,1.037,23.8588812,-1.317,-30.48651719
Z9314S,INT:FD HB AGRIP:PRIMROSE P32-S25+50 JAR & BALLMILL,13.91,341.762601,-17.406,-443.8916772
Z9321S,INT:FD HB AGRIP:RED IS537+2BM-L125+L050 BALLMILL 3,1720.496,43004.75924,207.98,5283.610873
Z9308S,INT:FD HB AGRIP:REDOX 130 S25+50 JAR & BALLMILL 1,177.045,3232.044998,241.636,4446.748676
Z9318S,INT:FD HB AGRIP:SCARLET SM-S25+50 JARMILL 1 @,60.489,1566.71954,-2.7,-70.29314732
Z9306S,INT:FD HB AGRIP:WHITE-L125+L050 BALLMILL 8 YY,2993.639,65425.21768,563.825,12552.4475
Z9309S,INT:FD HB AGRIP:YELLOW MID M11G S25+50 JAR & BALLM,502.053,11586.34489,225.498,5300.20514
Z9313S,INT:FD HB AGRIP:YELLOW OXIDE-S25+50 JAR & BALL MIL,66.95,1218.16864,-13.179,-241.7089536
Z409,INT:FD HTONE SILVER S50 (NO SILICONE) SLOW SPEED Y,6998.371,133163.972,72.675,1389.551574
Z302,INT:FDE BLACK (28m 22v) S25/35 BALLMILL 5 @,40699.385,735769.3949,343.687,6336.021069
Z307,INT:FDE BLUE 15.3 LS35 BALLMILL 4 YY,8420.62,186637.8189,1140.904,25803.21852
Z322,INT:FDE BLUE UM LS35 BALLMILL 4 YY,582.858,12524.52214,225.55,5318.008758
Z310,INT:FDE GREEN 7 S50 BALLMILL 4 YY,3566.662,80762.15705,459.314,10557.10158
Z305,INT:FDE GREEN IS227 LS25/35 BALLMILL 2 YY,3077.95,71204.47405,700.725,16514.99531
Z304,INT:FDE MAROON 6BM LS35 BALLMILL 1 YY,1706.081,39645.19826,197.656,4650.914534
Z309,INT:FDE MID YELLOW M11-G LS25/35 BALLMILL 6 YY,12623.009,281874.8105,861.646,19934.47083
Z199,INT:FDE MZAP BASE LS25:CLEAR-BALLMILL,2627.247,54046.28134,70.86,1452.025162
Z314,INT:FDE PRIMROSE P32 LS25/35 BALLMILL 6 YY,1191.78,28144.38143,600.35,15839.04837
Z321,INT:FDE RED IS537 LS25 BALLMILL 3 YY,3733.8,84101.34825,843.46,19215.66516
Z320,INT:FDE RED PO IS538 LS25+50 JARMILL @,97.02,2212.389036,-46.53,-1074.738711
Z308,INT:FDE REDOX 130 LS25/35 BALLMILL 3 YY,4392.486,77107.31828,-664.452,-11678.18257
Z318,INT:FDE SCARLET SM LS25/35 BALLMILL 3 YY,3627.258,91390.83911,485.645,12237.21634
Z306,INT:FDE TINT WHITE S25 BALLMILL 8 YY,17812.193,340815.9451,1967.654,39101.45322
Z313,INT:FDE YELLOWOX 920 LS25/35 BALLMILL 6 YY,4363.031,75592.12053,521.882,9144.419346
Z331,INT:FPW15 MATT:GREY 23m14v S25 3 POT HI-SP YY,35436.634,443149.5541,84.502,1074.649875
Z326,INT:FPW15 MATT:WHITE 28m15v LS25-3 POT HI-SP  YY,13782.24,181881.0273,1270.1,17219.46658
Z332,INT:FPW15 MATT:YELLOW OXIDE LS25 25m 15v XX HI-SP,5403.909,65490.15174,79.6,963.9824385
Z270,INT:HI/G ENAMEL L55 WHITE BALLMILL 8 @Y,12574.808,212188.4204,686.66,12138.83071
Z017,INT:PAINT REMOVER WAX SOLUTION,35.25,451.61835,130,1630.642619
Z612,INT:PU 7:1 BLUE 15.3 BASE BALLMILL 1 @,772,23804.4515,5,155.5549108
Z613,INT:PU 7:1 BLUE UM EP62 BASE JARMILL @,368.22,11049.20202,5.1,154.4298882
Z606,INT:PU 7:1 GREEN 7 BASE JARMILL YY,404.75,12750.98473,120,3817.556199
Z601,INT:PU 7:1 MAROON 6BM BASE JARMILL YY,61.812,2218.425846,15.3,557.1944128
Z609,INT:PU 7:1 RED IS537 BASE JAR/BMILL @,97.44,3534.577536,22.4,820.2259474
Z610,INT:PU 7:1 REDOX 130 BASE JARMILL YY,64.66,1630.847948,53,1321.200879
Z618,INT:PU 7:1 SCARLET SM BASE BALLMILL1 @,246.24,9049.539222,171,6197.738325
Z615,INT:PU 7:1 WHITE BASE BALLMILL 8 @,2770.428,80502.85421,212.569,6297.293919
Z604,INT:PU 7:1 YELLOW MID M11-G BASE BALLMILL 6 @,834.806,27560.76664,70.2,2399.487197
Z605,INT:PU 7:1 YELLOWOX 4920 HB BASE JARMILL @,73.03,1813.761853,32.7,811.4368267
Z701,INT:PVA TINT BLACK JARMILL @,29.202,297.7740121,103.125,1143.550777
Z711,INT:PVA TINT BLUE 15.3 JARMILL @,12.625,171.38805,0,0
Z717,INT:PVA TINT MID YELLOW M11 JARMILL @,119.61,1579.036437,108,1640.678037
Z728,INT:PVA TINT PRIMROSE P32 JARMILL @,0,0,0,0
Z704,INT:PVA TINT RED 6BM JARMILL @,13.75,187.365875,17.5,255.0120016
Z722,INT:PVA TINT RED IS537 JARMILL @,144.45,2443.658355,0,0
