batchNumber,productType,paintInfoType,rdProject,initialV,intialVUnit,iFOG,iFOGUnit,finalV,finalVUnit,finalSG,fFOG,fFOGUnit,fHardDry,fHardDryUnit,fTouchDry,fTouchDryUnit,finalDFT,finalDFTUnit,finalOpacity,finalGloss,finalDE,finalDESpec,dateIssued,dateLoaded,datePremixPassed,active
39929,603,Batch,3,54.7,KU,100,UM,59.5,SEC,1.051,2,UM,60,MIN,10,MIN,46.3,UM,89.39,83.5,1,Visual Match,03-08-2018,14-03-18,16-03-18,Completed
39946,532,Batch,,52.5,KU,100,UM,60.5,SEC,0.901,2,UM,60,MIN,10,MIN,39.6,UM,99.94,85.4,1,Visual Match,03-09-2018,14-03-18,16-03-18,Completed
39627,546,Batch,,62.2,KU,100,UM,62.5,KU,0.982,5,UM,75,MIN,10,MIN,0,UM,100,1,1,Visual Match,03-01-2018,20-03-18,22-03-18,Completed
39627,546,Batch,,62.2,KU,100,UM,62.5,KU,0.982,5,UM,75,MIN,10,MIN,0,UM,100,1,1,Visual Match,03-01-2018,20-03-18,22-03-18,Completed
39945,205,Batch,,44.5,KU,100,UM,19.5,SEC,0.886,2,UM,60,MIN,10,MIN,19.9,UM,97.19,73.6,0.199,Spectrophotometer,03-09-2018,15-03-18,16-03-18,Completed
39940,299,Batch,,60.1,KU,100,UM,60.5,SEC,0.967,10,UM,60,MIN,10,MIN,32.6,UM,100,1,1,Visual Match,03-09-2018,20-03-18,22-03-18,Completed
39969,537,Batch,,63.2,KU,100,UM,60.36,SEC,0.941,1.5,UM,60,MIN,10,MIN,43.8,UM,100,87.8,1,Visual Match,03-12-2018,20-03-18,22-03-18,Completed
39988,536,Batch,,76.3,KU,100,UM,59.8,SEC,0.931,2,UM,60,MIN,10,MIN,41.8,UM,73.54,75.6,1,Visual Match,14-03-18,14-03-18,16-03-18,Completed
39953,151,Batch,,76.8,KU,100,UM,59.67,SEC,1.004,2,UM,60,MIN,10,MIN,42.1,UM,84.39,80.1,1,Visual Match,03-09-2018,15-03-18,19-03-18,Completed
40010,548,Batch,,100.6,KU,100,UM,60.5,SEC,0.98,10,UM,60,MIN,10,MIN,32.3,UM,99.9,1,0.209,Spectrophotometer,16-03-18,23-03-18,23-03-18,Completed
40017,533,Batch,,57.6,KU,100,UM,59.63,SEC,0.928,2,UM,60,MIN,10,MIN,38.9,UM,62.71,68.8,1,Visual Match,19-03-18,20-03-18,22-03-18,Completed
40018,549,Batch,,111.5,KU,100,UM,60.46,SEC,0.993,5,UM,60,MIN,10,MIN,32.8,UM,83.79,1,1,Visual Match,19-03-18,23-03-18,26-03-18,Completed
40009,559,Batch,,66.7,KU,100,UM,61.4,KU,0.945,2,UM,180,MIN,30,MIN,64.9,UM,98.15,83.6,1,Visual Match,16-03-18,22-03-18,26-03-18,Completed
40000,543,Batch,,56.3,KU,100,UM,60.95,SEC,0.921,2,UM,60,MIN,10,MIN,33.3,UM,78.83,86.5,1,Visual Match,15-03-18,21-03-18,22-03-18,Completed
40001,543,Batch,1,63.7,KU,100,UM,60.85,SEC,0.893,2,UM,60,MIN,10,MIN,38.5,UM,79.66,24.6,1,Visual Match,15-03-18,21-03-18,23-03-18,Completed
39973,454,Batch,2,113.3,KU,100,UM,94.9,KU,1.401,15,UM,60,MIN,30,MIN,98.1,UM,92.83,1,1,Visual Match,04-01-2018,27-03-18,27-03-18,Completed
40030,577,Batch,3,70.7,KU,100,UM,69.59,SEC,1.142,1.5,UM,90,MIN,30,MIN,90.3,UM,96.15,87.3,1,Visual Match,19-03-18,23-03-18,26-03-18,Completed
39967,538,Batch,1,66.8,KU,100,UM,60.36,SEC,0.998,2,UM,60,MIN,10,MIN,40.1,UM,69.18,86.9,1,Visual Match,03-12-2018,15-03-18,16-03-18,Completed
40051,543,Batch,2,54.7,KU,100,UM,60.5,SEC,0.942,2,UM,60,MIN,10,MIN,43.6,UM,79.53,90.2,1,Visual Match,20-03-18,23-03-18,26-03-18,Completed
39992,606,Batch,3,80,KU,100,UM,21.5,SEC,0.962,10,UM,90,MIN,30,MIN,32.8,UM,99.43,7.6,0.245,Spectrophotometer,14-03-18,27-03-18,27-03-18,Completed
39981,205,Batch,,48.3,KU,100,UM,19.5,SEC,0.89,1.5,UM,60,MIN,10,MIN,19.3,UM,96.78,66.18,0.212,Spectrophotometer,04-01-2018,20-03-18,22-03-18,Completed
40032,520,Batch,,54.7,KU,100,UM,51.5,SEC,0.906,5,UM,60,MIN,10,MIN,31,UM,97.51,1,1,Visual Match,19-03-18,27-03-18,28-03-18,Completed
339935,529,Batch,,53.4,KU,100,UM,59.5,SEC,1.234,10,UM,60,MIN,10,MIN,N/C,UM,84.27,1,1,Visual Match,,27-03-18,29-03-18,Completed
39990,532,Batch,,69.3,KU,2,UM,60.46,SEC,0.898,2,UM,60,MIN,15,MIN,43.6,UM,98.14,89.6,1,Visual Match,14-03-18,29-03-18,03-03-2018,Completed
